,len_wid,nail_len_type,nail_wid_type,group_id,shape,design,score_joint,design_given_group_shape
0,long-narrow,long,narrow,L_N,square,art,0.03997619778869779,0.08124999999999999
1,long-narrow,long,narrow,L_N,square,french,0.15682969901719904,0.31875
2,long-narrow,long,narrow,L_N,square,glitter,0.08302748771498773,0.16875
3,long-narrow,long,narrow,L_N,square,nudes,0.11685350122850123,0.23749999999999996
4,long-narrow,long,narrow,L_N,square,ombre,0.09532785626535628,0.19375
5,long-narrow,long,narrow,L_N,round,art,0.0021026271026270992,0.012820512820512803
6,long-narrow,long,narrow,L_N,round,french,0.03153940653940654,0.19230769230769235
7,long-narrow,long,narrow,L_N,round,glitter,0.025231525231525227,0.15384615384615385
8,long-narrow,long,narrow,L_N,round,nudes,0.07779720279720279,0.4743589743589744
9,long-narrow,long,narrow,L_N,round,ombre,0.027334152334152324,0.16666666666666666
10,long-narrow,long,narrow,L_N,oval,art,0.007860488329238316,0.14062500000000003
11,long-narrow,long,narrow,L_N,oval,french,0.003930244164619158,0.07031250000000001
12,long-narrow,long,narrow,L_N,oval,glitter,0.01397420147420145,0.25000000000000006
13,long-narrow,long,narrow,L_N,oval,nudes,0.017467751842751813,0.31250000000000006
14,long-narrow,long,narrow,L_N,oval,ombre,0.012664120085995063,0.22656250000000003
15,long-narrow,long,narrow,L_N,almond,art,0.0496860496860497,0.29629629629629634
16,long-narrow,long,narrow,L_N,almond,french,0.012421512421512413,0.07407407407407401
17,long-narrow,long,narrow,L_N,almond,glitter,0.05589680589680591,0.33333333333333337
18,long-narrow,long,narrow,L_N,almond,nudes,0.003105378105378103,0.018518518518518504
19,long-narrow,long,narrow,L_N,almond,ombre,0.0465806715806716,0.27777777777777785
20,long-narrow,long,narrow,L_N,squoval,art,0.0,0.0
21,long-narrow,long,narrow,L_N,squoval,french,0.0,0.0
22,long-narrow,long,narrow,L_N,squoval,glitter,0.0,0.0
23,long-narrow,long,narrow,L_N,squoval,nudes,0.0,0.0
24,long-narrow,long,narrow,L_N,squoval,ombre,0.0,0.0
25,long-wide,long,wide,L_W,square,art,0.021582031250000005,0.08125000000000002
26,long-wide,long,wide,L_W,square,french,0.08466796875,0.31875000000000003
27,long-wide,long,wide,L_W,square,glitter,0.04482421875000001,0.16875000000000004
28,long-wide,long,wide,L_W,square,nudes,0.06308593750000001,0.23750000000000004
29,long-wide,long,wide,L_W,square,ombre,0.05146484375000001,0.19375000000000003
30,long-wide,long,wide,L_W,round,art,0.002003205128205125,0.012820512820512803
31,long-wide,long,wide,L_W,round,french,0.030048076923076924,0.19230769230769235
32,long-wide,long,wide,L_W,round,glitter,0.024038461538461536,0.15384615384615385
33,long-wide,long,wide,L_W,round,nudes,0.07411858974358974,0.47435897435897445
34,long-wide,long,wide,L_W,round,ombre,0.02604166666666666,0.16666666666666666
35,long-wide,long,wide,L_W,oval,art,0.03350830078125,0.140625
36,long-wide,long,wide,L_W,oval,french,0.016754150390625,0.0703125
37,long-wide,long,wide,L_W,oval,glitter,0.0595703125,0.25
38,long-wide,long,wide,L_W,oval,nudes,0.074462890625,0.3125
39,long-wide,long,wide,L_W,oval,ombre,0.053985595703125,0.2265625
40,long-wide,long,wide,L_W,almond,art,0.10069444444444446,0.29629629629629634
41,long-wide,long,wide,L_W,almond,french,0.02517361111111109,0.07407407407407401
42,long-wide,long,wide,L_W,almond,glitter,0.11328125000000001,0.33333333333333337
43,long-wide,long,wide,L_W,almond,nudes,0.006293402777777773,0.018518518518518504
44,long-wide,long,wide,L_W,almond,ombre,0.09440104166666669,0.27777777777777785
45,long-wide,long,wide,L_W,squoval,art,0.0,0.0
46,long-wide,long,wide,L_W,squoval,french,0.0,0.0
47,long-wide,long,wide,L_W,squoval,glitter,0.0,0.0
48,long-wide,long,wide,L_W,squoval,nudes,0.0,0.0
49,long-wide,long,wide,L_W,squoval,ombre,0.0,0.0
50,mid-narrow,mid,narrow,M_N,square,art,0.04062500000000001,0.08125
51,mid-narrow,mid,narrow,M_N,square,french,0.15937500000000002,0.31875
52,mid-narrow,mid,narrow,M_N,square,glitter,0.08437500000000002,0.16875
53,mid-narrow,mid,narrow,M_N,square,nudes,0.11875000000000001,0.23749999999999996
54,mid-narrow,mid,narrow,M_N,square,ombre,0.09687500000000002,0.19374999999999998
55,mid-narrow,mid,narrow,M_N,round,art,0.0008188283735728974,0.012820512820512804
56,mid-narrow,mid,narrow,M_N,round,french,0.01228242560359348,0.19230769230769235
57,mid-narrow,mid,narrow,M_N,round,glitter,0.009825940482874782,0.15384615384615385
58,mid-narrow,mid,narrow,M_N,round,nudes,0.03029664982219725,0.47435897435897445
59,mid-narrow,mid,narrow,M_N,round,ombre,0.01064476885644768,0.16666666666666669
60,mid-narrow,mid,narrow,M_N,oval,art,0.023351961678832113,0.14062499999999997
61,mid-narrow,mid,narrow,M_N,oval,french,0.011675980839416056,0.07031249999999999
62,mid-narrow,mid,narrow,M_N,oval,glitter,0.041514598540145976,0.24999999999999994
63,mid-narrow,mid,narrow,M_N,oval,nudes,0.05189324817518247,0.31249999999999994
64,mid-narrow,mid,narrow,M_N,oval,ombre,0.037622604927007294,0.22656249999999997
65,mid-narrow,mid,narrow,M_N,almond,art,0.04217356042173559,0.29629629629629634
66,mid-narrow,mid,narrow,M_N,almond,french,0.010543390105433889,0.07407407407407401
67,mid-narrow,mid,narrow,M_N,almond,glitter,0.04744525547445254,0.33333333333333337
68,mid-narrow,mid,narrow,M_N,almond,nudes,0.002635847526358472,0.018518518518518504
69,mid-narrow,mid,narrow,M_N,almond,ombre,0.03953771289537712,0.27777777777777785
70,mid-narrow,mid,narrow,M_N,squoval,art,0.0,0.0
71,mid-narrow,mid,narrow,M_N,squoval,french,0.0,0.0
72,mid-narrow,mid,narrow,M_N,squoval,glitter,0.0,0.0
73,mid-narrow,mid,narrow,M_N,squoval,nudes,0.0,0.0
74,mid-narrow,mid,narrow,M_N,squoval,ombre,0.0,0.0
75,mid-wide,mid,wide,M_W,square,art,0.020790816326530612,0.08125000000000002
76,mid-wide,mid,wide,M_W,square,french,0.08156397174254316,0.31875000000000003
77,mid-wide,mid,wide,M_W,square,glitter,0.043180926216640506,0.16875000000000004
78,mid-wide,mid,wide,M_W,square,nudes,0.06077315541601255,0.23750000000000002
79,mid-wide,mid,wide,M_W,square,ombre,0.04957810047095761,0.19375000000000003
80,mid-wide,mid,wide,M_W,round,art,0.0007044237813468566,0.012820512820512801
81,mid-wide,mid,wide,M_W,round,french,0.010566356720202867,0.19230769230769235
82,mid-wide,mid,wide,M_W,round,glitter,0.008453085376162291,0.15384615384615385
83,mid-wide,mid,wide,M_W,round,nudes,0.026063679909833735,0.4743589743589744
84,mid-wide,mid,wide,M_W,round,ombre,0.009157509157509148,0.16666666666666663
85,mid-wide,mid,wide,M_W,oval,art,0.05750833987441129,0.140625
86,mid-wide,mid,wide,M_W,oval,french,0.028754169937205646,0.0703125
87,mid-wide,mid,wide,M_W,oval,glitter,0.10223704866562007,0.24999999999999997
88,mid-wide,mid,wide,M_W,oval,nudes,0.12779631083202508,0.31249999999999994
89,mid-wide,mid,wide,M_W,oval,ombre,0.09265232535321818,0.22656249999999997
90,mid-wide,mid,wide,M_W,almond,art,0.08302808302808304,0.2962962962962963
91,mid-wide,mid,wide,M_W,almond,french,0.020757020757020742,0.074074074074074
92,mid-wide,mid,wide,M_W,almond,glitter,0.09340659340659342,0.3333333333333333
93,mid-wide,mid,wide,M_W,almond,nudes,0.0051892551892551856,0.0185185185185185
94,mid-wide,mid,wide,M_W,almond,ombre,0.07783882783882785,0.2777777777777778
95,mid-wide,mid,wide,M_W,squoval,art,0.0,0.0
96,mid-wide,mid,wide,M_W,squoval,french,0.0,0.0
97,mid-wide,mid,wide,M_W,squoval,glitter,0.0,0.0
98,mid-wide,mid,wide,M_W,squoval,nudes,0.0,0.0
99,mid-wide,mid,wide,M_W,squoval,ombre,0.0,0.0
100,short-narrow,short,narrow,S_N,square,art,0.03066209406494961,0.08125
101,short-narrow,short,narrow,S_N,square,french,0.12028975363941768,0.31875
102,short-narrow,short,narrow,S_N,square,glitter,0.06368281075027996,0.16875
103,short-narrow,short,narrow,S_N,square,nudes,0.08962765957446807,0.23749999999999996
104,short-narrow,short,narrow,S_N,square,ombre,0.0731173012318029,0.19375
105,short-narrow,short,narrow,S_N,round,art,0.004106009705113842,0.012820512820512801
106,short-narrow,short,narrow,S_N,round,french,0.06159014557670773,0.19230769230769232
107,short-narrow,short,narrow,S_N,round,glitter,0.04927211646136618,0.15384615384615383
108,short-narrow,short,narrow,S_N,round,nudes,0.1519223590892124,0.47435897435897434
109,short-narrow,short,narrow,S_N,round,ombre,0.05337812616648002,0.16666666666666663
110,short-narrow,short,narrow,S_N,oval,art,0.007165103583426638,0.140625
111,short-narrow,short,narrow,S_N,oval,french,0.003582551791713319,0.0703125
112,short-narrow,short,narrow,S_N,oval,glitter,0.0127379619260918,0.25
113,short-narrow,short,narrow,S_N,oval,nudes,0.01592245240761475,0.31250000000000006
114,short-narrow,short,narrow,S_N,oval,ombre,0.011543777995520694,0.2265625
115,short-narrow,short,narrow,S_N,almond,art,0.018636030580786077,0.2962962962962963
116,short-narrow,short,narrow,S_N,almond,french,0.004659007645196515,0.074074074074074
117,short-narrow,short,narrow,S_N,almond,glitter,0.020965534403384337,0.3333333333333333
118,short-narrow,short,narrow,S_N,almond,nudes,0.0011647519112991287,0.0185185185185185
119,short-narrow,short,narrow,S_N,almond,ombre,0.01747127866948695,0.2777777777777778
120,short-narrow,short,narrow,S_N,squoval,art,0.0,0.0
121,short-narrow,short,narrow,S_N,squoval,french,0.0,0.0
122,short-narrow,short,narrow,S_N,squoval,glitter,0.0,0.0
123,short-narrow,short,narrow,S_N,squoval,nudes,0.0,0.0
124,short-narrow,short,narrow,S_N,squoval,ombre,0.0,0.0
125,short-wide,short,wide,S_W,square,art,0.017534722222222226,0.08125000000000002
126,short-wide,short,wide,S_W,square,french,0.06879006410256411,0.31875000000000003
127,short-wide,short,wide,S_W,square,glitter,0.03641826923076923,0.16875
128,short-wide,short,wide,S_W,square,nudes,0.05125534188034188,0.2375
129,short-wide,short,wide,S_W,square,ombre,0.04181356837606838,0.19375
130,short-wide,short,wide,S_W,round,art,0.004109138724523334,0.012820512820512804
131,short-wide,short,wide,S_W,round,french,0.061637080867850094,0.19230769230769235
132,short-wide,short,wide,S_W,round,glitter,0.04930966469428007,0.15384615384615385
133,short-wide,short,wide,S_W,round,nudes,0.15203813280736356,0.47435897435897445
134,short-wide,short,wide,S_W,round,ombre,0.0534188034188034,0.16666666666666666
135,short-wide,short,wide,S_W,oval,art,0.03470552884615385,0.140625
136,short-wide,short,wide,S_W,oval,french,0.017352764423076924,0.0703125
137,short-wide,short,wide,S_W,oval,glitter,0.06169871794871795,0.25
138,short-wide,short,wide,S_W,oval,nudes,0.07712339743589744,0.3125
139,short-wide,short,wide,S_W,oval,ombre,0.05591446314102565,0.22656250000000003
140,short-wide,short,wide,S_W,almond,art,0.053920016882979864,0.2962962962962963
141,short-wide,short,wide,S_W,almond,french,0.013480004220744952,0.074074074074074
142,short-wide,short,wide,S_W,almond,glitter,0.06066001899335234,0.3333333333333333
143,short-wide,short,wide,S_W,almond,nudes,0.003370001055186238,0.0185185185185185
144,short-wide,short,wide,S_W,almond,ombre,0.05055001582779363,0.27777777777777785
145,short-wide,short,wide,S_W,squoval,art,0.0,0.0
146,short-wide,short,wide,S_W,squoval,french,0.0,0.0
147,short-wide,short,wide,S_W,squoval,glitter,0.0,0.0
148,short-wide,short,wide,S_W,squoval,nudes,0.0,0.0
149,short-wide,short,wide,S_W,squoval,ombre,0.0,0.0
